title,publisher,author,year
"Data Science from Scratch: First Principles with Python, Second Edition",O’Reilly Media,Joel Grus,2019
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Apress,Robert Johansson,2019
"Data Analysis From Scratch With Python: Beginner Guide using Python, Pandas, NumPy, Scikit-Learn, IPython, TensorFlow and Matplotlib",AI Sciences LLC,Peters Morgan,2018
Python Data Science Handbook: Essential Tools for Working with Data,O'Reilly Media,Jake VanderPlas,2016
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",O’Reilly Media,"Hadley Wickham, Garrett Grolemund",2017
Data Science for Business: What You Need to Know About Data Mining and Data-Analytic Thinking,O'Reilly Media,"Foster Provost, Tom Fawcett",2013
Data Science with R A Step By Step Guide With Visual Illustrations and Examples,Andrew Oleksy,Andrew Oleksy,2018
The Art of Data Science: A Guide for Anyone Who Works with Data,nan,"Roger D. Peng, Elizabeth Matsui",2015
"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools",Manning Publications,"Davy Cielen, Arno Meysman, Mohamed Ali",2016
Machine Learning: The Art and Science of Algorithms that Make Sense of Data,Cambridge University Press,Peter Flach,2012
"Python Data Science: The Ultimate Handbook for Beginners on How to Explore NumPy for Numerical Data, Pandas for Data Analysis, IPython, Scikit-Learn and Tensorflow for Machine Learning and Business",Steve Blair,Steve Blair,2019
Data Science For Dummies,John Wiley & Sons,Lillian Pierson,2015
Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2019
Data Science,The MIT Press,"John D. Kelleher, Brendan Tierney",2018
Practical Web Scraping for Data Science: Best Practices and Examples with Python,Apress,"Seppe vanden Broucke, Bart Baesens",2018
Statistics: The Art and Science of Learning from Data,Pearson,"Christine A. Franklin, Bernhard Klingenberg, Alan Agresti",2017
Analytics in a Big Data World: The Essential Guide to Data Science and its Applications,Wiley,Bart Baesens,2014
The Data Science Handbook,John Wiley & Sons,Field Cady,2017
Principles of Data Science,Packt Publishing,Sinan Ozdemir,2016
Advanced Data Science and Analytics with Python,CRC Press,Jesús Rogel-Salazar,2020
"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line",nan,"Growth, Darwin",2020
"Intro to Python forComputer Science and Data Science : Learning to Program with AI, Big Data and the Cloud",nan,Paul Deitel,2020
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",Wiley,EMC Education Services,2015
"An Introduction to Data: Everything You Need to Know About AI, Big Data and Data Science",Springer International Publishing,Francesco Corea,2019
Applied Data Science with Python and Jupyter,Packt Publishing,Alex Galea,2018
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,O'Reilly Media,"Hariom Tatsat, Sahil Puri, Brad Lookabaugh",2020
500 Most Important Data Science Interview Questions and Answers,Indian Wolf Publications,Vamsee Puligadda,2018
Practical Data Science with R,Manning Publications,"Nina Zumel, John Mount",2014
Data Science Programming All-In-One For Dummies,John Wiley & Sons,"John Paul Mueller, Luca Massaron",2020
"AI in Marketing, Sales and Service: How Marketers without a Data Science Degree can use AI, Big Data and Bots",Palgrave Macmillan,Peter Gentsch,2018
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",Cambridge University Press,"Steven L. Brunton, J. Nathan Kutz",2019
Data Visualization and Exploration with R - A Practical Guide to Using R RStudio and Tidyverse for Data Visualization Exploration and Data Science Applications,Geospatial Training Services,Eric Pimpler,2017
Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2019
120 real data science interview questions,nan,"Carl Shan, Max Song, Henry Wang, And  William Chen",2015
Probability and Statistics for Data Science: Math + R + Data,CRC Press,Norman S. Matloff,2020
Data Structures and Algorithms with Python: Undergraduate Topics in Computer Science,Springer,"Kent Lee, Steve Hubbard",2015
"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow (Machine Learning in Python)",LazyProgrammer.me,LazyProgrammer,2016
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Pearson,"Paul J. Deitel, Harvey Deitel",2020
"Data science from scratch: the #1 data science guide for everything a data scientist needs to know: Python, linear algebra, statistics, coding, applications, neural networks, and decision trees",Steven Cooper;Data Science,"Cooper, Steven",2018
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization",Packt Publishing,Stefanie Molin,2021
"Big Data, Cloud Computing, Data Science & Engineering",Springer International Publishing,Roger Lee,2019
"The Decision Maker’s Handbook To Data Science: A Guide For Non-Technical Executives, Managers, And Founders",Apress,Stylianos Kampakis,2020
Build a Career in Data Science,Manning Publications,"Emily Robinson, Jacqueline Nolis",2020
Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,nan,"Hack, Samuel",2020
Big Data MBA Driving Business Strategies with Data Science,nan,Schmarzo B.,english
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Python for Beginners Crash Course - 4 Books in 1",nan,"Academy, Tech Ed",2020
"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",Packt Publishing,Stephen Klosterman,2021
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective",Pearson,"Ramesh Sharda, Dursun Delen, Efraim Turban",2017
"Fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection",John Wiley & Sons,"Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke",2015
Doing Data Science: Straight Talk from the Frontline,O'Reilly Media,"Rachel Schutt, Cathy O'Neil",2013
"It's All Analytics!: The Foundations of AI, Big Data, and Data Science Landscape for Professionals in Healthcare, Business, and Government",CRC Press,"Scott Burk, Gary D. Miner",2020
"Python for Data Science, 2nd Edition",Wiley,"John Paul Mueller, Luca Massaron",2019
A Hands-On Introduction to Data Science,Cambridge University Press,Chirag Shah,2020
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,O’Reilly Media,Alex Gorelik,2019
"Univariate, Bivariate, and Multivariate Statistics Using R: Quantitative Tools for Data Analysis and Data Science",Wiley,Daniel J. Denis,2020
Data science : fondamentaux et études de cas : Machine learning avec Python et R,Eyrolles,"Eric Biernat, Michel Lutz, Yann LeCun",2015
"Detecting regime change in computational finance: data science, machine learning and algorithmic trading",CRC Press,"Chen, Jun, Tsang, Edward",2021
Data Science and Big Data Analytics,Springer Singapore,"Durgesh Kumar Mishra, Xin-She Yang, Aynur Unal",2019
Data Science Strategy For Dummies,Wiley,Ulrika Jägare,2019
"Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning. A Complete Overview to Master The Art of Data Science From Scratch Using Python for Business",nan,Andrew Park,2020
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud, Global Edition",Pearson,Paul Deitel,2021
"Python Programming: 3 BOOKS IN 1 Learn machine learning, data science and analysis with a crash course for beginners. Included coding exercises for artificial intelligence, Numpy, Pandas and Ipython.",nan,"Test, Jason",2020
Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2015
Practical Data Science with R,Manning Publications,"Nina Zumel, John Mount",2019
"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning (Machine Learning in Python)",LazyProgrammer,Unknown,2016
Data Science do zero: Primeiras regras com o Python,Alta Books,Joel Grus,2016
Parallel Computing for Data Science,CRC Press,Norman Matloff,2015
MALWARE DATA SCIENCE  Attack Detection and Attribution,No Starch Press,Joshua Saxe,2018
"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",Packt Publishing - ebooks Account,David Mertz,2021
Foundations of Data Science,Cambridge University Press,"Avrim Blum, John Hopcroft, Ravindran Kannan",2020
Data Science with Julia,CRC Press,"Paul D. McNicholas, Peter A. Tait",2019
Lecture Notes on Data Engineering and Communications Technologies Volume 89,Data Science Interview Books,Series Editor: Fatos Xhafa,2022
Malware Data Science: Attack Detection And Attribution,No Starch Press,"Joshua Saxe, Hillary Sanders",2018
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,Apress,Joshua Cook,2017
Hands-on data science and Python machine learning : perform data mining and machine learning efficiently using Python and Spark,Packt Publishing - ebooks Account,Frank Kane,2017
The Kaggle Book: Data analysis and machine learning for competitive data science,nan,KONRAD. MASSARON BANACHEWICZ (LUCA.),2022
Data Science Bookcamp: Five real-world Python projects (Final Release),Manning Publications,Leonard Apeltsin,2021
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",nan,Matt Taddy [Matt Taddy],2019
Data Science in Production: Building Scalable Model Pipelines with Python,Independently published,Ben G Weber,2020
Hands-on Scikit-Learn for Machine Learning Applications: Data Science Fundamentals with Python,Apress,David Paper,2020
"Practical Data Science with Jupyter: Explore Data Cleaning, Pre-processing, Data Wrangling, Feature Engineering and Machine Learning using Python and Jupyter (English Edition)",BPB Publications,PRATEEK GUPTA,2021
"SQL for Data Science: Data Cleaning, Wrangling and Analytics with Relational Databases",Springer,Antonio Badia,2020
"Essential Math for Data Science: Take Control of Your Data with Fundamental Calculus, Linear Algebra, Probability, and Statistics","O’Reilly Media, Inc.",Hadrien Jean,2021
"Unsupervised Machine Learning in Python: Master Data Science and Machine Learning with Cluster Analysis, Gaussian Mixture Models, and Principal Components Analysis",LazyProgrammer,Lazy Programmer,2016
Think Like a Data Scientist: Tackle the Data Science Process Step-by-Step,Manning Publications,Brian Godsey,2017
Python NumPy for Beginners: NumPy Specialization for Data Science,AI Publishing LLC,AI Publishing,2022
The Data Science Design Manual,Springer,Steven S. Skiena,2017
A collection of Data Science Interview Questions Solved in Python and Spark: Hands-on Big Data and Machine Learning,CreateSpace Independent Publishing Platform,Antonio Gulli,2015
The Applied Data Science Workshop - Second Edition: Get started with the applications of data science and techniques to explore and assess data effectively,Packt Publishing - ebooks Account,Alex Galea,2020
"PYTHON FOR DATA SCIENCE: Guide to computer programming and web coding. Learn machine learning, artificial intelligence, NumPy and Pandas packages for data analysis. Step-by-step exercises included.",nan,Jason  Test,2020
Data Smart: Using Data Science to Transform Information into Insight,Wiley,John W. Foreman,2013
Data Science para Negócios,Alta Books,"Tom Fawcett & Foster Provost [Fawcett, Tom]",2018
Practical Data Science with Python 3,Apress,Ervin Varga,2019
"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science",Cambridge University Press,"Bradley Efron, Trevor Hastie",2016
JavaScript for Data Science,CRC Press,"Maya Gans, Toby Hodges, Greg Wilson",2020
"COMPUTER PROGRAMMING 4 Books In 1: Data Science, Hacking with Kali Linux, Computer Networking for Beginners, Python Programming",nan,Jason Callaway,2020
Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,PH Professional Business,Thomas W. Miller [Thomas W. Miller],2015
Data Science on the Google Cloud Platform,O’Reilly Media,Valliappa Lakshmanan,2018
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python",Packt Publishing,François Voron,2021
Data Science Fundamentals for Python and MongoDB,Apress,David Paper,2018
